"Name","PNPClass","Manufacturer","ConfigManagerErrorCode","PNPDeviceID","HardwareIDs"
"","","","28","ACPI\QCOM05A1\2&DABA3FF&0","ACPI\VEN_QCOM&DEV_05A1&SUBSYS_MTP08250; ACPI\QCOM05A1; *QCOM05A1"
"","","","28","ACPI\QCOM055E\64","ACPI\VEN_QCOM&DEV_055E; ACPI\QCOM055E; *QCOM055E"
"","","","28","ACPI\QCOM0527\0","ACPI\VEN_QCOM&DEV_0527&SUBSYS_MTP08250; ACPI\QCOM0527; *QCOM0527"
"","","","28","ACPI\QCOM0561\2&DABA3FF&0","ACPI\VEN_QCOM&DEV_0561&SUBSYS_MTP08250; ACPI\QCOM0561; *QCOM0561"
"","","","28","ACPI\QCOM0581\0","ACPI\VEN_QCOM&DEV_0581&SUBSYS_MTP08250; ACPI\QCOM0581; *QCOM0581"
"","","","28","ACPI\QCOM0583\0","ACPI\VEN_QCOM&DEV_0583&SUBSYS_MTP08250; ACPI\QCOM0583; *QCOM0583"
"","","","28","ACPI\QCOM0507\2&DABA3FF&0","ACPI\VEN_QCOM&DEV_0507&SUBSYS_MTP08250; ACPI\QCOM0507; *QCOM0507"
"","","","28","ACPI\QCOM0530\1","ACPI\VEN_QCOM&DEV_0530&SUBSYS_MTP08250; ACPI\QCOM0530; *QCOM0530"
"","","","28","ACPI\QCOM05D2\0","ACPI\VEN_QCOM&DEV_05D2; ACPI\QCOM05D2; *QCOM05D2"
"","","","28","ACPI\QCOM0593\0","ACPI\VEN_QCOM&DEV_0593&SUBSYS_MTP08250; ACPI\QCOM0593; *QCOM0593"
"","","","28","ACPI\QCOM0593\1","ACPI\VEN_QCOM&DEV_0593&SUBSYS_MTP08250; ACPI\QCOM0593; *QCOM0593"
"","","","28","ACPI\QCOM0593\2","ACPI\VEN_QCOM&DEV_0593&SUBSYS_MTP08250; ACPI\QCOM0593; *QCOM0593"
"","","","28","ACPI\QCOM057F\2&DABA3FF&0","ACPI\VEN_QCOM&DEV_057F&SUBSYS_MTP08250; ACPI\QCOM057F; *QCOM057F"
"","","","28","ACPI\SSDE\2&DABA3FF&0","ACPI\SSDE; *SSDE"
"","","","28","ACPI\QCOM0577\2&DABA3FF&0","ACPI\VEN_QCOM&DEV_0577&SUBSYS_MTP08250; ACPI\QCOM0577; *QCOM0577"
"","","","28","ACPI\QCOM059B\0","ACPI\VEN_QCOM&DEV_059B&SUBSYS_MTP08250; ACPI\QCOM059B; *QCOM059B"
"","","","28","ACPI\QCOM059B\1","ACPI\VEN_QCOM&DEV_059B&SUBSYS_MTP08250; ACPI\QCOM059B; *QCOM059B"
"","","","28","ACPI\QCOM059D\0","ACPI\VEN_QCOM&DEV_059D; ACPI\QCOM059D; *QCOM059D"
"","","","28","ACPI\QCOM0533\2&DABA3FF&0","ACPI\VEN_QCOM&DEV_0533&SUBSYS_MTP08250; ACPI\QCOM0533; *QCOM0533"
"","","","28","ACPI\QCOM059E\0","ACPI\VEN_QCOM&DEV_059E; ACPI\QCOM059E; *QCOM059E"
"","","","28","ACPI\QCOM055F\2&DABA3FF&0","ACPI\VEN_QCOM&DEV_055F&SUBSYS_MTP08250; ACPI\QCOM055F; *QCOM055F"
"","","","28","ACPI\QCOM054C\0","ACPI\VEN_QCOM&DEV_054C; ACPI\QCOM054C; *QCOM054C"
"","","","28","ACPI\QCOM051B\2&DABA3FF&0","ACPI\VEN_QCOM&DEV_051B&SUBSYS_MTP08250; ACPI\QCOM051B; *QCOM051B"
"","","","28","ACPI\QCOM054E\0","ACPI\VEN_QCOM&DEV_054E; ACPI\QCOM054E; *QCOM054E"
"","","","28","ACPI\VEN_QCOM&DEV_058C&SUBSYS_MTP08250&REV_0002\2&DABA3FF&0","ACPI\VEN_QCOM&DEV_058C&SUBSYS_MTP08250&REV_0002; ACPI\VEN_QCOM&DEV_058C&SUBSYS_MTP08250; ACPI\QCOM058C; *QCOM058C"
